start_zip,end_zip,year,number_of_rides,avg_ride_duration_min
60602,60602,2020,30796,32.48
60602,60602,2021,41405,23.93
60602,60602,2022,38360,13.82
60602,60602,2023,40306,12.62
60602,60602,2024,41123,12.88
60602,60604,2020,15827,13.81
60602,60604,2021,23869,17.98
60602,60604,2022,22768,14.66
60602,60604,2023,23959,13.66
60602,60604,2024,25937,13.46
60602,60607,2020,6020,19.56
60602,60607,2021,8988,16.81
60602,60607,2022,9150,15.59
60602,60607,2023,9877,15.23
60602,60607,2024,9050,15.04
60602,60608,2020,695,71.43
60602,60608,2021,889,29.34
60602,60608,2022,1080,31.42
60602,60608,2023,1001,26.99
60602,60608,2024,1194,25.92
60602,60609,2020,60,73.01
60602,60609,2021,73,39.72
60602,60609,2022,53,40.18
60602,60609,2023,37,55.71
60602,60609,2024,47,35.59
60602,60610,2020,24934,16.43
60602,60610,2021,36481,17.18
60602,60610,2022,32958,15.2
60602,60610,2023,34473,14.57
60602,60610,2024,39289,14.29
60602,60611,2020,20369,23.95
60602,60611,2021,31706,22.28
60602,60611,2022,28160,17.74
60602,60611,2023,27619,17.86
60602,60611,2024,31173,16.11
60602,60612,2020,2308,101.23
60602,60612,2021,2990,73.95
60602,60612,2022,2759,18.99
60602,60612,2023,2653,20.89
60602,60612,2024,2722,18.98
60602,60613,2020,1560,45.13
60602,60613,2021,1844,41.99
60602,60613,2022,2003,39.57
60602,60613,2023,1918,38.06
60602,60613,2024,2327,37.93
60602,60614,2020,8014,30.63
60602,60614,2021,9458,30.05
60602,60614,2022,9469,26.29
60602,60614,2023,10179,24.59
60602,60614,2024,11526,24.84
60602,60615,2020,476,67.21
60602,60615,2021,1034,52.95
60602,60615,2022,829,50.49
60602,60615,2023,589,52.29
60602,60615,2024,641,49.04
60602,60616,2020,4415,42.65
60602,60616,2021,5893,24.18
60602,60616,2022,6023,20.43
60602,60616,2023,6187,21.07
60602,60616,2024,6765,20.87
60602,60617,2021,2,93.12
60602,60617,2022,1,96.93
60602,60617,2023,1,599.35
60602,60617,2024,1,61.62
60602,60618,2020,169,48.08
60602,60618,2021,375,54.71
60602,60618,2022,261,41.37
60602,60618,2023,223,39.04
60602,60618,2024,211,37.1
60602,60619,2020,13,1052.16
60602,60619,2021,13,1099.62
60602,60619,2022,6,156.16
60602,60619,2023,2,205.08
60602,60619,2024,8,107.56
60602,60621,2020,9,43.45
60602,60621,2021,16,655.08
60602,60621,2022,10,47.78
60602,60621,2023,8,119.3
60602,60621,2024,9,62.67
60602,60622,2020,3956,28.83
60602,60622,2021,4421,25.11
60602,60622,2022,4676,21.34
60602,60622,2023,5205,21.81
60602,60622,2024,5299,20.8
60602,60623,2020,146,150.64
60602,60623,2021,145,39.44
60602,60623,2022,88,39.87
60602,60623,2023,80,56.42
60602,60623,2024,74,35.54
60602,60624,2020,129,169.78
60602,60624,2021,162,61.3
60602,60624,2022,128,42.45
60602,60624,2023,105,42.03
60602,60624,2024,85,63.59
60602,60625,2020,87,52.91
60602,60625,2021,241,43.61
60602,60625,2022,227,42.91
60602,60625,2023,161,53.29
60602,60625,2024,176,43.94
60602,60626,2020,50,1351.74
60602,60626,2021,57,324.33
60602,60626,2022,68,67.39
60602,60626,2023,55,73.43
60602,60626,2024,84,61.6
60602,60628,2021,1,76.93
60602,60628,2022,2,68.94
60602,60629,2021,5,49.8
60602,60629,2022,7,54.41
60602,60629,2023,2,61.92
60602,60629,2024,1,47.23
60602,60630,2021,4,59.15
60602,60630,2022,2,43.24
60602,60630,2023,5,66.58
60602,60630,2024,6,100.16
60602,60631,2020,1,110.6
60602,60631,2023,1,58.78
60602,60631,2024,1,12.77
60602,60632,2021,4,41.61
60602,60632,2022,20,68.85
60602,60632,2023,8,42.16
60602,60632,2024,10,46.22
60602,60633,2021,1,159.73
60602,60634,2021,4,53.35
60602,60634,2022,3,43.62
60602,60634,2023,2,50.95
60602,60636,2020,3,31017.29
60602,60636,2021,4,566.51
60602,60636,2022,12,57.19
60602,60636,2023,8,181.5
60602,60636,2024,6,143.71
60602,60637,2020,45,991.61
60602,60637,2021,150,63.94
60602,60637,2022,103,67.32
60602,60637,2023,84,57.15
60602,60637,2024,175,65.96
60602,60638,2023,1,213.12
60602,60639,2020,6,34.18
60602,60639,2021,17,44.38
60602,60639,2022,16,44.51
60602,60639,2023,20,37.48
60602,60639,2024,10,51.45
60602,60640,2020,637,87.6
60602,60640,2021,701,54.19
60602,60640,2022,868,48.31
60602,60640,2023,917,43.75
60602,60640,2024,952,47.29
60602,60641,2020,11,64.69
60602,60641,2021,31,53.91
60602,60641,2022,36,98.17
60602,60641,2023,35,48.72
60602,60641,2024,48,48.05
60602,60642,2020,2935,18.28
60602,60642,2021,4311,19.99
60602,60642,2022,4356,14.53
60602,60642,2023,4130,14.28
60602,60642,2024,4318,13.21
60602,60643,2021,3,120.9
60602,60643,2022,2,64.54
60602,60643,2023,1,57.72
60602,60643,2024,1,136.25
60602,60644,2020,23,461.86
60602,60644,2021,34,191.45
60602,60644,2022,37,75.66
60602,60644,2023,20,51.95
60602,60644,2024,13,56.81
60602,60645,2020,18,67.79
60602,60645,2021,13,1955.57
60602,60645,2022,17,146.86
60602,60645,2023,7,75.61
60602,60645,2024,40,56.09
60602,60646,2023,1,63.07
60602,60646,2024,2,169.6
60602,60647,2020,1987,67.84
60602,60647,2021,2922,41.93
60602,60647,2022,2627,29.46
60602,60647,2023,2913,29.98
60602,60647,2024,2627,28.97
60602,60649,2020,26,157.04
60602,60649,2021,65,587.05
60602,60649,2022,49,64.72
60602,60649,2023,30,59.51
60602,60649,2024,31,59.18
60602,60651,2020,14,72.2
60602,60651,2021,37,47.99
60602,60651,2022,13,46.81
60602,60651,2023,10,40.92
60602,60651,2024,15,36.65
60602,60653,2020,470,92.51
60602,60653,2021,478,65.79
60602,60653,2022,406,40.34
60602,60653,2023,260,40.62
60602,60653,2024,243,40.32
60602,60655,2020,1,82.73
60602,60656,2021,1,81.02
60602,60656,2023,1,74.8
60602,60657,2020,3290,30.27
60602,60657,2021,3382,35.5
60602,60657,2022,3374,33.23
60602,60657,2023,3931,34.34
60602,60657,2024,4723,30.98
60602,60659,2020,14,70.81
60602,60659,2021,12,61.64
60602,60659,2022,10,75.62
60602,60659,2023,4,57.8
60602,60659,2024,12,144.46
60602,60660,2020,78,69.68
60602,60660,2021,94,72.39
60602,60660,2022,119,60.75
60602,60660,2023,128,62.88
60602,60660,2024,125,52.1
60602,60661,2020,28702,11.6
60602,60661,2021,43067,12.5
60602,60661,2022,47456,9.87
60602,60661,2023,52538,9.38
60602,60661,2024,55602,9.61
60602,60666,2024,2,48.7
60602,60678,2020,8859,27.31
60602,60678,2021,12345,25.35
60602,60678,2022,10458,19.93
60602,60678,2023,9957,16.19
60602,60678,2024,12009,17.07
60602,60706,2021,1,191.08
60602,60706,2024,1,48.84
60602,60707,2021,2,243.58
60602,60707,2023,1,50.87
60602,60707,2024,2,60.71
60602,60803,2022,1,200.53
60602,60805,2024,1,10.22
60604,60602,2020,15013,20.06
60604,60602,2021,23236,18.05
60604,60602,2022,21740,14.76
60604,60602,2023,23044,13.32
60604,60602,2024,24744,13.71
60604,60604,2020,46598,37.59
60604,60604,2021,58723,29.34
60604,60604,2022,59680,19.93
60604,60604,2023,64700,17.58
60604,60604,2024,71294,17.44
60604,60607,2020,6424,13.18
60604,60607,2021,9531,17.84
60604,60607,2022,10251,15.35
60604,60607,2023,9947,14.77
60604,60607,2024,9909,14.98
60604,60608,2020,1442,58.72
60604,60608,2021,1474,40.7
60604,60608,2022,1909,24.17
60604,60608,2023,1449,22.48
60604,60608,2024,1561,25.38
60604,60609,2020,73,284.5
60604,60609,2021,104,45.8
60604,60609,2022,80,35.52
60604,60609,2023,60,47.7
60604,60609,2024,59,36.52
60604,60610,2020,8840,37.39
60604,60610,2021,12607,35.19
60604,60610,2022,11869,31.73
60604,60610,2023,12030,30.02
60604,60610,2024,14282,29.02
60604,60611,2020,18361,28.34
60604,60611,2021,30837,29.55
60604,60611,2022,27144,27.15
60604,60611,2023,27091,26.95
60604,60611,2024,31080,27.05
60604,60612,2020,2317,50.26
60604,60612,2021,2358,53.9
60604,60612,2022,1636,21.71
60604,60612,2023,1419,22.3
60604,60612,2024,1536,22.33
60604,60613,2020,610,107.9
60604,60613,2021,910,73.94
60604,60613,2022,1002,50.24
60604,60613,2023,1205,48.98
60604,60613,2024,1389,45.97
60604,60614,2020,2836,51.56
60604,60614,2021,4368,51.9
60604,60614,2022,4353,41.97
60604,60614,2023,4698,39.13
60604,60614,2024,5263,39.62
60604,60615,2020,1893,50.62
60604,60615,2021,2886,46.78
60604,60615,2022,3438,42.51
60604,60615,2023,2952,43.27
60604,60615,2024,3502,43.32
60604,60616,2020,13297,19.87
60604,60616,2021,17575,18.68
60604,60616,2022,17977,16.69
60604,60616,2023,18449,16.62
60604,60616,2024,20506,16.48
60604,60617,2020,1,95.52
60604,60617,2021,4,69.66
60604,60617,2022,3,91.22
60604,60617,2023,4,85.24
60604,60617,2024,4,71.59
60604,60618,2020,27,65.31
60604,60618,2021,69,54.47
60604,60618,2022,61,54.79
60604,60618,2023,95,50.02
60604,60618,2024,83,63.65
60604,60619,2020,34,953.15
60604,60619,2021,10,3937.8
60604,60619,2022,21,59.24
60604,60619,2023,13,68.91
60604,60619,2024,10,135.94
60604,60621,2020,27,153.74
60604,60621,2021,17,1583.36
60604,60621,2022,6,124.28
60604,60621,2023,7,59.31
60604,60621,2024,15,39.43
60604,60622,2020,910,75.13
60604,60622,2021,1093,38.35
60604,60622,2022,1098,34.86
60604,60622,2023,1073,34.35
60604,60622,2024,1016,34.47
60604,60623,2020,107,42.89
60604,60623,2021,154,80.3
60604,60623,2022,147,37.61
60604,60623,2023,110,40.53
60604,60623,2024,45,36.54
60604,60624,2020,85,984.56
60604,60624,2021,59,93.72
60604,60624,2022,67,56.1
60604,60624,2023,46,38.89
60604,60624,2024,66,36.38
60604,60625,2020,17,73.92
60604,60625,2021,68,61.66
60604,60625,2022,55,57.32
60604,60625,2023,44,65.72
60604,60625,2024,56,65.46
60604,60626,2020,44,108.01
60604,60626,2021,41,119.7
60604,60626,2022,28,393.67
60604,60626,2023,32,125.96
60604,60626,2024,41,83.23
60604,60628,2020,1,61.68
60604,60628,2021,2,132.22
60604,60628,2022,2,237.3
60604,60628,2023,3,140.44
60604,60628,2024,1,1117.98
60604,60629,2021,1,55.65
60604,60629,2023,1,62.17
60604,60629,2024,1,48.3
60604,60630,2021,1,47.8
60604,60630,2022,1,39.55
60604,60630,2023,1,96.92
60604,60630,2024,1,65.12
60604,60631,2024,2,99.02
60604,60632,2020,1,191.77
60604,60632,2021,7,60.4
60604,60632,2022,14,38.05
60604,60632,2023,11,39.71
60604,60632,2024,20,84.56
60604,60633,2023,3,106.09
60604,60633,2024,1,16.64
60604,60634,2021,3,92.77
60604,60634,2023,1,73.23
60604,60634,2024,3,35.23
60604,60636,2020,4,56.34
60604,60636,2021,8,254.26
60604,60636,2022,5,110.3
60604,60636,2023,9,58.21
60604,60636,2024,13,60.95
60604,60637,2020,280,153.34
60604,60637,2021,447,62.78
60604,60637,2022,455,48.51
60604,60637,2023,376,49.94
60604,60637,2024,589,48.3
60604,60638,2021,1,92.28
60604,60638,2023,1,59.22
60604,60639,2021,5,65.14
60604,60639,2022,10,51.55
60604,60639,2023,11,46.09
60604,60639,2024,15,180.99
60604,60640,2020,238,82.87
60604,60640,2021,471,61.76
60604,60640,2022,533,59.15
60604,60640,2023,633,58.35
60604,60640,2024,814,58.87
60604,60641,2020,5,75.32
60604,60641,2021,4,59.42
60604,60641,2022,5,56.38
60604,60641,2023,8,50.59
60604,60641,2024,12,74.9
60604,60642,2020,750,35.56
60604,60642,2021,930,38.28
60604,60642,2022,968,26.37
60604,60642,2023,873,26.51
60604,60642,2024,1020,25.76
60604,60643,2020,1,62.1
60604,60643,2021,2,142.5
60604,60643,2022,2,58.3
60604,60644,2020,10,350.6
60604,60644,2021,8,114.6
60604,60644,2022,6,150.38
60604,60644,2023,8,60.68
60604,60644,2024,5,122.47
60604,60645,2020,7,87.45
60604,60645,2021,9,97.62
60604,60645,2022,7,74.82
60604,60645,2023,5,108.65
60604,60645,2024,17,72.07
60604,60647,2020,508,73.93
60604,60647,2021,679,48.26
60604,60647,2022,467,45.61
60604,60647,2023,511,44.31
60604,60647,2024,636,45.98
60604,60649,2020,126,60.91
60604,60649,2021,151,67.41
60604,60649,2022,184,57.02
60604,60649,2023,191,46.42
60604,60649,2024,258,49.61
60604,60651,2020,2,55.32
60604,60651,2021,5,81.9
60604,60651,2022,2,46.88
60604,60651,2023,2,55.32
60604,60651,2024,15,46.15
60604,60653,2020,1491,46.9
60604,60653,2021,1749,33.37
60604,60653,2022,2131,31.68
60604,60653,2023,1478,29.03
60604,60653,2024,1257,28.85
60604,60657,2020,1024,58.93
60604,60657,2021,1426,54.52
60604,60657,2022,1758,45.71
60604,60657,2023,1771,43.72
60604,60657,2024,1968,41.86
60604,60659,2020,1,93.8
60604,60659,2021,4,108.53
60604,60659,2022,7,104.59
60604,60659,2023,10,58.84
60604,60659,2024,9,58.93
60604,60660,2020,68,90.58
60604,60660,2021,81,86.85
60604,60660,2022,91,61.73
60604,60660,2023,144,73.13
60604,60660,2024,152,61.26
60604,60661,2020,11709,25.02
60604,60661,2021,16001,18.85
60604,60661,2022,16741,17.43
60604,60661,2023,17976,16.79
60604,60661,2024,19662,16.78
60604,60666,2024,1,131.06
60604,60678,2020,14262,26.1
60604,60678,2021,23742,26.68
60604,60678,2022,24028,21.23
60604,60678,2023,24022,19.63
60604,60678,2024,27367,19.96
60604,60707,2021,1,82.38
60604,60707,2022,1,82.45
60604,60707,2023,4,81.05
60604,60707,2024,1,1172.38
60604,60804,2020,1,103.07
60604,60804,2024,1,65.26
60607,60602,2020,5388,14.34
60607,60602,2021,8551,18.57
60607,60602,2022,8576,15.57
60607,60602,2023,9884,14.5
60607,60602,2024,9101,15.31
60607,60604,2020,6069,16.76
60607,60604,2021,9292,18.27
60607,60604,2022,9846,16.18
60607,60604,2023,9253,15.03
60607,60604,2024,9292,14.95
60607,60607,2020,38985,12.39
60607,60607,2021,65216,11.22
60607,60607,2022,94568,8.17
60607,60607,2023,103484,7.9
60607,60607,2024,98118,7.8
60607,60608,2020,4661,18.6
60607,60608,2021,6339,15.19
60607,60608,2022,7411,12.86
60607,60608,2023,7703,11.99
60607,60608,2024,7985,11.87
60607,60609,2020,168,29.43
60607,60609,2021,253,26.95
60607,60609,2022,180,29.11
60607,60609,2023,211,27.2
60607,60609,2024,149,26.07
60607,60610,2020,3184,28.01
60607,60610,2021,4819,26.95
60607,60610,2022,4726,25.88
60607,60610,2023,4915,23.27
60607,60610,2024,4539,24.28
60607,60611,2020,2823,34.47
60607,60611,2021,4640,30.59
60607,60611,2022,4132,27.22
60607,60611,2023,4430,26.52
60607,60611,2024,4503,25.32
60607,60612,2020,8927,12.04
60607,60612,2021,15288,14.58
60607,60612,2022,18973,10.81
60607,60612,2023,18455,10.61
60607,60612,2024,18748,10.34
60607,60613,2020,214,51.59
60607,60613,2021,355,46.86
60607,60613,2022,391,43.09
60607,60613,2023,441,39.8
60607,60613,2024,512,40.41
60607,60614,2020,1232,41.29
60607,60614,2021,1919,32.2
60607,60614,2022,2037,27.63
60607,60614,2023,2151,27.75
60607,60614,2024,2468,25.89
60607,60615,2020,197,-3.56
60607,60615,2021,382,48.31
60607,60615,2022,374,47.87
60607,60615,2023,215,47.25
60607,60615,2024,333,51.36
60607,60616,2020,4709,24.42
60607,60616,2021,6838,20.68
60607,60616,2022,7570,16.25
60607,60616,2023,8338,14.95
60607,60616,2024,7829,15.27
60607,60617,2021,3,69.7
60607,60617,2022,1,53.5
60607,60617,2024,1,74.53
60607,60618,2020,46,48.57
60607,60618,2021,111,41.41
60607,60618,2022,120,38.05
60607,60618,2023,99,37.32
60607,60618,2024,140,39.37
60607,60619,2020,1,95.22
60607,60619,2021,6,78.38
60607,60619,2022,8,179.41
60607,60619,2023,2,58.75
60607,60619,2024,4,87.12
60607,60621,2020,4,29.6
60607,60621,2021,6,99.03
60607,60621,2022,14,25.5
60607,60621,2023,8,30.96
60607,60621,2024,18,30.27
60607,60622,2020,2470,12.87
60607,60622,2021,3381,21.84
60607,60622,2022,3212,19.13
60607,60622,2023,3079,17.74
60607,60622,2024,3054,17.77
60607,60623,2020,256,50.59
60607,60623,2021,425,52.64
60607,60623,2022,321,24.98
60607,60623,2023,266,24.16
60607,60623,2024,267,22.02
60607,60624,2020,132,53.02
60607,60624,2021,289,61.46
60607,60624,2022,307,29.46
60607,60624,2023,212,30.84
60607,60624,2024,167,26.27
60607,60625,2020,32,42.51
60607,60625,2021,54,41.83
60607,60625,2022,46,48.65
60607,60625,2023,39,45.26
60607,60625,2024,39,39.61
60607,60626,2020,9,93.18
60607,60626,2021,19,73.76
60607,60626,2022,6,82.44
60607,60626,2023,13,117.47
60607,60626,2024,21,76.46
60607,60628,2021,1,110.63
60607,60628,2022,3,64.87
60607,60628,2024,1,60.37
60607,60629,2020,1,77.5
60607,60629,2021,2,35.94
60607,60629,2022,3,35.66
60607,60629,2023,6,32.33
60607,60629,2024,5,92.93
60607,60630,2021,1,109.12
60607,60630,2023,3,58.2
60607,60630,2024,4,47.16
60607,60631,2024,1,72.25
60607,60632,2021,16,44.75
60607,60632,2022,37,35.63
60607,60632,2023,34,36.29
60607,60632,2024,44,31.55
60607,60634,2022,6,47.06
60607,60634,2023,9,52.36
60607,60636,2020,7,310.36
60607,60636,2021,9,72.56
60607,60636,2022,3,42.18
60607,60636,2023,9,51.68
60607,60636,2024,25,51.54
60607,60637,2020,27,404.22
60607,60637,2021,53,57.51
60607,60637,2022,59,48.07
60607,60637,2023,26,53.58
60607,60637,2024,33,62.2
60607,60638,2021,1,103.83
60607,60638,2022,1,33.0
60607,60638,2023,5,76.24
60607,60638,2024,3,25.28
60607,60639,2021,9,48.73
60607,60639,2022,11,43.46
60607,60639,2023,11,45.19
60607,60639,2024,12,45.54
60607,60640,2020,107,90.99
60607,60640,2021,108,51.12
60607,60640,2022,147,52.07
60607,60640,2023,171,49.3
60607,60640,2024,210,52.28
60607,60641,2020,12,79.42
60607,60641,2021,12,50.06
60607,60641,2022,10,49.04
60607,60641,2023,7,49.67
60607,60641,2024,14,43.88
60607,60642,2020,1612,17.76
60607,60642,2021,2763,18.45
60607,60642,2022,3080,12.38
60607,60642,2023,3089,11.33
60607,60642,2024,2896,11.5
60607,60643,2021,1,71.2
60607,60643,2022,1,66.72
60607,60643,2023,2,46.5
60607,60643,2024,1,54.86
60607,60644,2020,10,40.02
60607,60644,2021,34,35.1
60607,60644,2022,29,60.49
60607,60644,2023,9,37.66
60607,60644,2024,21,46.07
60607,60645,2020,6,67.8
60607,60645,2021,8,57.77
60607,60645,2022,7,63.59
60607,60645,2023,4,64.44
60607,60645,2024,5,52.77
60607,60647,2020,843,39.24
60607,60647,2021,1505,35.39
60607,60647,2022,1295,29.61
60607,60647,2023,1202,28.97
60607,60647,2024,1231,28.41
60607,60649,2020,5,128.33
60607,60649,2021,24,67.58
60607,60649,2022,19,59.0
60607,60649,2023,11,80.73
60607,60649,2024,10,63.16
60607,60651,2020,8,77.98
60607,60651,2021,17,55.03
60607,60651,2022,20,49.98
60607,60651,2023,20,34.97
60607,60651,2024,17,45.74
60607,60652,2022,1,90.67
60607,60652,2024,1,111.39
60607,60653,2020,190,46.38
60607,60653,2021,259,38.76
60607,60653,2022,240,31.72
60607,60653,2023,147,41.78
60607,60653,2024,188,37.87
60607,60655,2023,1,84.35
60607,60656,2021,1,76.5
60607,60656,2024,2,64.89
60607,60657,2020,470,41.84
60607,60657,2021,731,35.59
60607,60657,2022,723,33.4
60607,60657,2023,748,34.35
60607,60657,2024,752,34.28
60607,60659,2020,1,87.07
60607,60659,2021,3,74.85
60607,60659,2022,4,56.7
60607,60659,2023,8,48.71
60607,60659,2024,4,44.8
60607,60660,2020,6,1484.8
60607,60660,2021,42,95.94
60607,60660,2022,39,63.23
60607,60660,2023,26,69.86
60607,60660,2024,22,67.93
60607,60661,2020,18114,9.78
60607,60661,2021,28350,11.84
60607,60661,2022,36165,10.12
60607,60661,2023,41927,9.35
60607,60661,2024,43589,9.29
60607,60678,2020,1983,31.15
60607,60678,2021,3030,29.2
60607,60678,2022,2607,25.61
60607,60678,2023,2843,23.08
60607,60678,2024,2831,22.65
60607,60701,2023,1,48.75
60607,60701,2024,5,46.46
60607,60706,2024,2,58.82
60607,60707,2022,2,51.36
60607,60707,2023,1,44.65
60607,60707,2024,1,41.82
60607,60803,2023,1,132.28
60607,60804,2023,2,44.7
60607,60804,2024,1,48.29
60608,60602,2020,590,31.91
60608,60602,2021,849,28.72
60608,60602,2022,1005,23.89
60608,60602,2023,863,23.8
60608,60602,2024,1053,23.48
60608,60604,2020,1387,29.37
60608,60604,2021,1455,28.65
60608,60604,2022,1631,23.76
60608,60604,2023,1257,22.71
60608,60604,2024,1555,22.76
60608,60607,2020,4276,16.66
60608,60607,2021,6272,14.66
60608,60607,2022,7193,11.97
60608,60607,2023,7567,11.39
60608,60607,2024,7838,11.15
60608,60608,2020,9204,37.31
60608,60608,2021,14125,17.59
60608,60608,2022,18375,12.34
60608,60608,2023,17908,10.91
60608,60608,2024,18447,10.91
60608,60609,2020,652,26.1
60608,60609,2021,1206,19.67
60608,60609,2022,1135,17.68
60608,60609,2023,1133,14.72
60608,60609,2024,814,16.17
60608,60610,2020,394,43.07
60608,60610,2021,519,38.04
60608,60610,2022,483,37.26
60608,60610,2023,449,37.03
60608,60610,2024,534,35.29
60608,60611,2020,536,41.5
60608,60611,2021,560,56.89
60608,60611,2022,461,37.5
60608,60611,2023,410,38.17
60608,60611,2024,560,36.21
60608,60612,2020,1923,3.45
60608,60612,2021,2309,18.78
60608,60612,2022,2760,12.63
60608,60612,2023,2618,12.6
60608,60612,2024,2596,13.18
60608,60613,2020,39,51.61
60608,60613,2021,119,47.04
60608,60613,2022,78,53.11
60608,60613,2023,93,49.88
60608,60613,2024,98,47.16
60608,60614,2020,246,63.15
60608,60614,2021,360,38.21
60608,60614,2022,329,71.26
60608,60614,2023,266,34.58
60608,60614,2024,270,38.78
60608,60615,2020,203,54.51
60608,60615,2021,436,41.19
60608,60615,2022,263,42.55
60608,60615,2023,169,38.71
60608,60615,2024,230,50.06
60608,60616,2020,3245,22.6
60608,60616,2021,5315,17.45
60608,60616,2022,6768,13.86
60608,60616,2023,7677,12.59
60608,60616,2024,7384,13.14
60608,60617,2021,2,68.41
60608,60617,2022,1,73.9
60608,60617,2023,2,60.58
60608,60617,2024,2,56.92
60608,60618,2020,18,50.67
60608,60618,2021,74,47.04
60608,60618,2022,74,41.73
60608,60618,2023,45,47.78
60608,60618,2024,39,38.46
60608,60619,2020,4,79.17
60608,60619,2021,4,52.19
60608,60619,2022,8,94.85
60608,60619,2023,5,41.42
60608,60619,2024,3,42.24
60608,60621,2020,1,23.0
60608,60621,2021,13,34.21
60608,60621,2022,5,75.31
60608,60621,2023,15,28.95
60608,60621,2024,5,48.3
60608,60622,2020,791,32.77
60608,60622,2021,965,33.54
60608,60622,2022,971,24.57
60608,60622,2023,804,22.4
60608,60622,2024,698,25.14
60608,60623,2020,703,26.49
60608,60623,2021,1339,17.8
60608,60623,2022,1561,14.25
60608,60623,2023,1171,14.26
60608,60623,2024,1126,12.24
60608,60624,2020,97,32.54
60608,60624,2021,372,29.48
60608,60624,2022,171,28.11
60608,60624,2023,101,28.78
60608,60624,2024,113,26.97
60608,60625,2020,5,65.69
60608,60625,2021,32,69.61
60608,60625,2022,49,65.4
60608,60625,2023,27,45.57
60608,60625,2024,20,48.53
60608,60626,2020,20,122.74
60608,60626,2021,17,1284.22
60608,60626,2022,3,85.7
60608,60626,2023,8,103.19
60608,60626,2024,10,75.61
60608,60628,2021,3,104.35
60608,60628,2023,1,52.35
60608,60629,2020,2,40.45
60608,60629,2021,52,28.74
60608,60629,2022,55,25.23
60608,60629,2023,36,26.13
60608,60629,2024,134,26.57
60608,60630,2021,1,60.4
60608,60630,2022,2,56.72
60608,60630,2023,2,42.85
60608,60630,2024,2,53.75
60608,60631,2024,1,46.11
60608,60632,2020,5,40.78
60608,60632,2021,277,20.38
60608,60632,2022,1054,15.61
60608,60632,2023,610,14.89
60608,60632,2024,492,16.51
60608,60634,2021,5,51.61
60608,60634,2022,2,66.35
60608,60634,2023,5,48.8
60608,60634,2024,6,52.48
60608,60636,2020,28,672.87
60608,60636,2021,50,44.71
60608,60636,2022,48,69.36
60608,60636,2023,54,51.0
60608,60636,2024,32,41.72
60608,60637,2020,47,43.09
60608,60637,2021,43,42.06
60608,60637,2022,33,44.26
60608,60637,2023,18,41.68
60608,60637,2024,27,47.0
60608,60638,2021,2,40.58
60608,60638,2022,2,36.77
60608,60638,2023,6,39.49
60608,60638,2024,8,36.72
60608,60639,2021,9,42.05
60608,60639,2022,6,37.2
60608,60639,2023,11,48.87
60608,60639,2024,16,57.18
60608,60640,2020,26,65.29
60608,60640,2021,54,73.88
60608,60640,2022,89,58.07
60608,60640,2023,64,58.51
60608,60640,2024,67,49.1
60608,60641,2020,3,42.77
60608,60641,2021,16,53.03
60608,60641,2022,8,45.59
60608,60641,2023,22,51.56
60608,60641,2024,12,51.5
60608,60642,2020,244,26.23
60608,60642,2021,406,23.43
60608,60642,2022,507,22.61
60608,60642,2023,379,21.96
60608,60642,2024,318,20.05
60608,60643,2020,1,58.45
60608,60643,2021,3,61.71
60608,60643,2022,8,60.52
60608,60643,2023,6,44.53
60608,60643,2024,1,43.82
60608,60644,2020,9,43.52
60608,60644,2021,13,39.31
60608,60644,2022,17,29.44
60608,60644,2023,13,35.64
60608,60644,2024,13,43.48
60608,60645,2020,1,99.78
60608,60645,2021,15,83.72
60608,60645,2022,4,120.29
60608,60645,2023,2,82.84
60608,60645,2024,1,145.52
60608,60647,2020,292,38.58
60608,60647,2021,694,35.15
60608,60647,2022,648,32.21
60608,60647,2023,498,32.19
60608,60647,2024,526,31.43
60608,60649,2020,5,62.66
60608,60649,2021,15,62.01
60608,60649,2022,12,52.08
60608,60649,2023,11,78.9
60608,60649,2024,6,67.32
60608,60651,2020,3,45.83
60608,60651,2021,14,36.52
60608,60651,2022,4,37.8
60608,60651,2023,10,53.2
60608,60651,2024,9,38.6
60608,60652,2020,1,66.97
60608,60652,2021,5,56.06
60608,60652,2022,2,59.72
60608,60652,2023,1,34.77
60608,60653,2020,239,43.29
60608,60653,2021,419,28.11
60608,60653,2022,369,24.02
60608,60653,2023,290,23.07
60608,60653,2024,277,23.12
60608,60657,2020,106,55.2
60608,60657,2021,171,49.69
60608,60657,2022,137,39.09
60608,60657,2023,129,41.36
60608,60657,2024,160,40.26
60608,60659,2021,5,60.79
60608,60659,2022,2,43.08
60608,60659,2023,2,55.88
60608,60659,2024,1,43.09
60608,60660,2020,11,112.0
60608,60660,2021,9,79.4
60608,60660,2022,11,67.79
60608,60660,2023,13,66.75
60608,60660,2024,16,66.96
60608,60661,2020,1771,24.62
60608,60661,2021,1466,21.86
60608,60661,2022,2557,19.03
60608,60661,2023,2108,19.46
60608,60661,2024,2281,19.06
60608,60678,2020,277,47.37
60608,60678,2021,402,43.2
60608,60678,2022,392,35.91
60608,60678,2023,393,31.36
60608,60678,2024,395,32.44
60608,60701,2024,1,44.48
60608,60706,2023,1,59.82
60608,60707,2021,2,55.66
60608,60707,2022,1,64.72
60608,60707,2023,1,100.8
60608,60707,2024,1,74.15
60608,60803,2022,1,1177.28
60608,60804,2022,2,32.46
60608,60804,2024,6,41.09
60609,60602,2020,36,46.68
60609,60602,2021,35,41.7
60609,60602,2022,24,52.03
